ensembl_gene_id	entrezgene_id	hgnc_symbol
350	ENSG00000084676	8648	NCOA1
351	ENSG00000084693	60509	AGBL5
352	ENSG00000084710	22979	EFR3B
353	ENSG00000084731	3797	KIF3C
354	ENSG00000084733	10890	RAB10
355	ENSG00000084754	3030	HADHA
356	ENSG00000084764	22924	MAPRE3
357	ENSG00000084774	790	CAD
358	ENSG00000085274	55892	MYNN
359	ENSG00000085433	22911	WDR47
360	ENSG00000085449	57590	WDFY1
361	ENSG00000085465	5016	OVGP1
362	ENSG00000085491	29957	SLC25A24
363	ENSG00000085760	4528	MTIF2
364	ENSG00000085831	22996	TTC39A
365	ENSG00000085832	2060	EPS15
366	ENSG00000085840	4998	ORC1
367	ENSG00000085978	55054	ATG16L1
368	ENSG00000085982	55230	USP40
369	ENSG00000085998	55624	POMGNT1
370	ENSG00000085999	8438	RAD54L
371	ENSG00000086015	23139	MAST2
372	ENSG00000086619	56605	ERO1B
373	ENSG00000087008	8310	ACOX3
374	ENSG00000087266	6452	SH3BP2
375	ENSG00000087269	8602	NOP14
376	ENSG00000087274	118	ADD1
377	ENSG00000087338	64395	GMCL1
378	ENSG00000088035	29929	ALG6
379	ENSG00000088179	5775	PTPN4
380	ENSG00000088205	8886	DDX18
381	ENSG00000088538	1795	DOCK3
382	ENSG00000088543	51161	C3orf18
383	ENSG00000088726	55287	TMEM40
384	ENSG00000088727	64147	KIF9
385	ENSG00000090020	6548	SLC9A1
386	ENSG00000090097	57060	PCBP4
387	ENSG00000090104	5996	RGS1
388	ENSG00000090273	10726	NUDC
389	ENSG00000090316	10296	MAEA
390	ENSG00000090432	79594	MUL1
391	ENSG00000090520	51726	DNAJB11
392	ENSG00000090530	55214	P3H2
393	ENSG00000090621	8761	PABPC4
394	ENSG00000090686	84196	USP48
395	ENSG00000090989	55763	EXOC1
396	ENSG00000091106	58484	NLRC4
397	ENSG00000091317	54918	CMTM6
398	ENSG00000091409	3655	ITGA6
399	ENSG00000091436	51776	MAP3K20
400	ENSG00000091483	2271	FH
401	ENSG00000091490	23231	SEL1L3
402	ENSG00000091527	55573	CDV3
403	ENSG00000091972	4345	CD200
404	ENSG00000092607	6913	TBX15
405	ENSG00000092621	26227	PHGDH
406	ENSG00000092847	26523	AGO1
407	ENSG00000092853	63967	CLSPN
408	ENSG00000092978	55105	GPATCH2
409	ENSG00000093167	9209	LRRFIP2
410	ENSG00000093183	9117	SEC22C
411	ENSG00000093217	9942	XYLB
412	ENSG00000094975	51430	SUCO
413	ENSG00000095002	4436	MSH2
414	ENSG00000097021	11332	ACOT7
415	ENSG00000097033	51100	SH3GLB1
416	ENSG00000097046	8317	CDC7
417	ENSG00000097096	84144	SYDE2
418	ENSG00000107404	1855	DVL1
419	ENSG00000109133	55161	TMEM33
420	ENSG00000109171	57606	SLAIN2
421	ENSG00000109180	54940	OCIAD1
422	ENSG00000109184	23142	DCUN1D4
423	ENSG00000109189	64854	USP46
424	ENSG00000109220	26511	CHIC2
425	ENSG00000109272	5197	PF4V1
426	ENSG00000109501	7466	WFS1
427	ENSG00000109519	80273	GRPEL1
428	ENSG00000109606	1665	DHX15
429	ENSG00000109618	51091	SEPSECS
430	ENSG00000109667	56606	SLC2A9
431	ENSG00000109680	55296	TBC1D19
432	ENSG00000109684	116449	CLNK
433	ENSG00000109685	7468	NSD2
434	ENSG00000109689	57620	STIM2
435	ENSG00000109736	10227	MFSD10
436	ENSG00000109743	683	BST1
437	ENSG00000109787	51274	KLF3
438	ENSG00000109790	51088	KLHL5
439	ENSG00000109805	64151	NCAPG
440	ENSG00000109814	7358	UGDH
441	ENSG00000113790	1962	EHHADH
442	ENSG00000113810	10051	SMC4
443	ENSG00000113811	58515	SELENOK
444	ENSG00000113812	93973	ACTR8
445	ENSG00000113838	55171	TBCCD1
446	ENSG00000113845	51300	TIMMDC1
447	ENSG00000113851	51185	CRBN
448	ENSG00000113916	604	BCL6
449	ENSG00000113966	84100	ARL6
450	ENSG00000113971	27031	NPHP3
451	ENSG00000114013	942	CD86
452	ENSG00000114021	56954	NIT2
